Faculty,1st Semester,2nd Semester,Average,Classification,Value
46,4.2,3.6,3.9,Performer,1
47,4.6,2.9,3.75,Performer,1
48,2.3,3.9,3.1,Performer,1
49,3.8,2.9,3.35,Performer,1
50,2.8,4.1,3.45,Performer,1
51,1.1,3.3,2.2,Non-Performer,2
52,2.9,4.4,3.65,Performer,1
53,3,1.5,2.25,Non-Performer,2
54,2.7,3.2,2.95,Non-Performer,2
55,4.6,2.8,3.7,Performer,1
56,4.5,3.7,4.1,Performer,1
57,1.9,3.6,2.75,Non-Performer,2
58,1.9,2.1,2,Non-Performer,2
59,3.5,4.7,4.1,Performer,1
60,3.3,3.4,3.35,Performer,1
61,2.4,4.3,3.35,Performer,1
62,2.1,3,2.55,Non-Performer,2
63,2.1,1.1,1.6,Non-Performer,2
64,2.4,4.8,3.6,Performer,1
65,2,4.8,3.4,Performer,1
66,1.4,4.6,3,Performer,1
67,4.3,1.9,3.1,Performer,1
68,2.1,4.2,3.15,Performer,1
69,3.3,4,3.65,Performer,1
70,2,3.5,2.75,Non-Performer,2
71,3.3,4.5,3.9,Performer,1
72,3.3,1.7,2.5,Non-Performer,2
73,2.6,1.3,1.95,Non-Performer,2
74,2.6,1.6,2.1,Non-Performer,2
75,3,2.1,2.55,Non-Performer,2
76,2.8,2.7,2.75,Non-Performer,2
77,4.8,2.3,3.55,Performer,1
78,2.8,3.4,3.1,Performer,1
79,1.6,1.7,1.65,Non-Performer,2
80,3.4,1.7,2.55,Non-Performer,2
81,2.8,3.8,3.3,Performer,1
82,1.1,3.9,2.5,Non-Performer,2
83,2.5,3.1,2.8,Non-Performer,2
84,4.4,3.2,3.8,Performer,1
85,1.2,3,2.1,Non-Performer,2
86,2.3,2.6,2.45,Non-Performer,2
87,2.4,1.6,2,Non-Performer,2
88,3.3,3.7,3.5,Performer,1
89,4.8,2.4,3.6,Performer,1
90,3.3,3.4,3.35,Performer,1
91,3.4,3.7,3.55,Performer,1
92,2,4.3,3.15,Performer,1
93,4.5,2.8,3.65,Performer,1
94,2.8,3.9,3.35,Performer,1
95,2.5,2.9,2.7,Non-Performer,2
96,2.4,1.8,2.1,Non-Performer,2
97,3.1,2.6,2.85,Non-Performer,2
98,3.4,4.8,4.1,Performer,1
99,2.2,4.2,3.2,Performer,1
100,1.8,4.6,3.2,Performer,1
101,2.9,3.4,3.15,Performer,1
102,3.3,3,3.15,Performer,1
103,1.8,2.8,2.3,Non-Performer,2
104,2,3.3,2.65,Non-Performer,2
105,3.2,2,2.6,Non-Performer,2
106,1.6,3.8,2.7,Non-Performer,2
107,3.9,3.2,3.55,Performer,1
108,4.3,3,3.65,Performer,1
109,3.4,1.7,2.55,Non-Performer,2
110,1.7,4,2.85,Non-Performer,2
111,1.7,2,1.85,Non-Performer,2
112,3.3,2.8,3.05,Performer,1
113,3,4.8,3.9,Performer,1
114,1.2,1.5,1.35,Non-Performer,2
115,2.3,2.6,2.45,Non-Performer,2
116,2.7,1.5,2.1,Non-Performer,2
117,2.6,3.6,3.1,Performer,1
118,3.2,3.6,3.4,Performer,1
119,2,2.9,2.45,Non-Performer,2
120,2.4,2.9,2.65,Non-Performer,2
121,3.6,3.1,3.35,Performer,1
122,3.7,1.6,2.65,Non-Performer,2
123,2.5,4.4,3.45,Performer,1
124,2.8,3.3,3.05,Performer,1
125,1.7,1.7,1.7,Non-Performer,2
126,3,4.3,3.65,Performer,1
127,1.3,3.8,2.55,Non-Performer,2
128,3.5,4.8,4.15,Performer,1
129,4.7,3.4,4.05,Performer,1
130,2,1.3,1.65,Non-Performer,2
131,2.9,3.2,3.05,Performer,1
132,1.9,2.8,2.35,Non-Performer,2
133,3.8,4.3,4.05,Performer,1
134,3.8,3,3.4,Performer,1
135,3.1,2.2,2.65,Non-Performer,2
136,4.5,4.7,4.6,Performer,1
137,1.2,1.4,1.3,Non-Performer,2
138,4.8,2.6,3.7,Performer,1
139,1.9,1.5,1.7,Non-Performer,2
140,3.4,3.2,3.3,Performer,1
141,4.1,4,4.05,Performer,1
142,3.4,3.4,3.4,Performer,1
143,4.1,1.9,3,Performer,1
144,4.1,3.3,3.7,Performer,1
145,2.7,1.4,2.05,Non-Performer,2
146,1.8,2.8,2.3,Non-Performer,2
147,3.6,2.3,2.95,Non-Performer,2
148,3.1,2.5,2.8,Non-Performer,2
149,1.7,4.7,3.2,Performer,1
150,3.7,1.4,2.55,Non-Performer,2
151,4.1,4.4,4.25,Performer,1
152,1.8,1.7,1.75,Non-Performer,2
153,4.1,4.5,4.3,Performer,1
154,4.3,4.1,4.2,Performer,1
155,1.8,3.3,2.55,Non-Performer,2
156,4.3,4.2,4.25,Performer,1
157,4.6,1.3,2.95,Non-Performer,2
158,2.1,1.9,2,Non-Performer,2
159,1.3,1.2,1.25,Non-Performer,2
160,2.9,4.8,3.85,Performer,1
161,2.3,1.5,1.9,Non-Performer,2
162,2.4,3.7,3.05,Performer,1
163,2.5,4.2,3.35,Performer,1
164,3.4,1.6,2.5,Non-Performer,2
165,3.2,1.4,2.3,Non-Performer,2
166,3.9,1.3,2.6,Non-Performer,2
167,4.4,1.4,2.9,Non-Performer,2
168,3.9,3.8,3.85,Performer,1
169,2.5,3.6,3.05,Performer,1
170,1.2,3.3,2.25,Non-Performer,2
171,2.8,1.8,2.3,Non-Performer,2
172,3.3,2.4,2.85,Non-Performer,2
173,3.6,2.4,3,Performer,1
174,4.2,1.2,2.7,Non-Performer,2
175,4.4,4,4.2,Performer,1
176,4,4,4,Performer,1
177,2.1,2.6,2.35,Non-Performer,2
178,3.6,1.6,2.6,Non-Performer,2
179,2.7,1.6,2.15,Non-Performer,2
180,1.5,4.8,3.15,Performer,1
181,1.6,2.3,1.95,Non-Performer,2
182,3.5,3.1,3.3,Performer,1
183,3.8,1.2,2.5,Non-Performer,2
184,3.2,4.8,4,Performer,1
185,3.2,1.6,2.4,Non-Performer,2
186,4.2,3.9,4.05,Performer,1
187,2,3.4,2.7,Non-Performer,2
188,4.5,1.5,3,Performer,1
189,2.9,1.4,2.15,Non-Performer,2
190,2.2,1.1,1.65,Non-Performer,2
191,2.5,1.7,2.1,Non-Performer,2
192,3.8,3.1,3.45,Performer,1
193,1.4,4.5,2.95,Non-Performer,2
194,3.3,3.1,3.2,Performer,1
195,2.2,1.1,1.65,Non-Performer,2
196,2.5,1.7,2.1,Non-Performer,2
197,2.8,2.4,2.6,Non-Performer,2
198,3.6,3.2,3.4,Performer,1
199,1.5,3.8,2.65,Non-Performer,2
200,3.4,2,2.7,Non-Performer,2
201,3.5,2,2.75,Non-Performer,2
202,4.7,3.6,4.15,Performer,1
203,3.4,2.4,2.9,Non-Performer,2
204,1.9,2.9,2.4,Non-Performer,2
205,2.6,2.8,2.7,Non-Performer,2
206,2.9,2,2.45,Non-Performer,2
207,4.1,1.6,2.85,Non-Performer,2
208,1.7,1.2,1.45,Non-Performer,2
209,2.9,4.7,3.8,Performer,1
210,2.5,4.2,3.35,Performer,1
211,3.5,1.9,2.7,Non-Performer,2
212,4.3,2.5,3.4,Performer,1
213,2.8,2.3,2.55,Non-Performer,2
214,3.6,1.2,2.4,Non-Performer,2
215,1.9,1.4,1.65,Non-Performer,2
216,4.6,3.8,4.2,Performer,1
217,3.3,1.5,2.4,Non-Performer,2
218,2.5,3,2.75,Non-Performer,2
219,4.4,4.7,4.55,Performer,1
220,4.1,3.4,3.75,Performer,1
221,3.3,4.1,3.7,Performer,1
222,4.2,4,4.1,Performer,1
223,1.4,3,2.2,Non-Performer,2
224,2.7,4.7,3.7,Performer,1
225,1.5,2,1.75,Non-Performer,2
226,3.9,4.8,4.35,Performer,1
227,4.3,4.6,4.45,Performer,1
228,4.4,4.9,4.65,Performer,1
229,1.1,2.7,1.9,Non-Performer,2
230,3,3.2,3.1,Performer,1
231,3.3,3.6,3.45,Performer,1
232,3.1,4.8,3.95,Performer,1
233,4.9,2.2,3.55,Performer,1
234,4.1,4.5,4.3,Performer,1
235,4.7,1.2,2.95,Non-Performer,2
236,3,4.9,3.95,Performer,1
237,4.9,1.6,3.25,Performer,1
238,2.3,2.1,2.2,Non-Performer,2
239,4.3,2.8,3.55,Performer,1
240,1.9,2.3,2.1,Non-Performer,2
241,1.1,1.3,1.2,Non-Performer,2
242,2.6,3,2.8,Non-Performer,2
243,3.3,1.7,2.5,Non-Performer,2
244,4.2,3.1,3.65,Performer,1
245,1.8,4.6,3.2,Performer,1
246,1.2,2.9,2.05,Non-Performer,2
247,1.5,2.4,1.95,Non-Performer,2
248,4.1,4.8,4.45,Performer,1
249,4.7,3.8,4.25,Performer,1
250,4.4,2.5,3.45,Performer,1
251,2.8,1.4,2.1,Non-Performer,2
252,1.3,1.3,1.3,Non-Performer,2
253,2.7,3.9,3.3,Performer,1
254,4.8,3.4,4.1,Performer,1
255,2.1,3,2.55,Non-Performer,2
256,4.6,4,4.3,Performer,1
257,4.8,2.8,3.8,Performer,1
258,1.3,4.4,2.85,Non-Performer,2
259,3.9,2,2.95,Non-Performer,2
260,1.7,3.2,2.45,Non-Performer,2
261,2.5,1.3,1.9,Non-Performer,2
262,2.2,3.2,2.7,Non-Performer,2
263,1.9,1.7,1.8,Non-Performer,2
264,1.9,4.2,3.05,Performer,1
265,2.1,2.3,2.2,Non-Performer,2
266,1.9,3.6,2.75,Non-Performer,2
267,2.6,1.6,2.1,Non-Performer,2
268,3.1,4.2,3.65,Performer,1
269,4.7,2.6,3.65,Performer,1
270,4.4,4.4,4.4,Performer,1
271,2.7,1.3,2,Non-Performer,2
272,3.4,1.8,2.6,Non-Performer,2
273,1.6,4.5,3.05,Performer,1
274,2.5,4.1,3.3,Performer,1
275,4.6,1.5,3.05,Performer,1
276,3.1,3.4,3.25,Performer,1
277,3.2,1.4,2.3,Non-Performer,2
278,4,2.3,3.15,Performer,1
279,2.6,1.2,1.9,Non-Performer,2
280,4.4,4.8,4.6,Performer,1
281,4.4,3.6,4,Performer,1
282,1.5,3.6,2.55,Non-Performer,2
283,2.4,2.4,2.4,Non-Performer,2
284,2.8,1.7,2.25,Non-Performer,2
285,3.7,4,3.85,Performer,1
286,2.6,3.1,2.85,Non-Performer,2
287,1.6,2.3,1.95,Non-Performer,2
288,3.1,3.9,3.5,Performer,1
289,2.8,3,2.9,Non-Performer,2
290,1.8,3.4,2.6,Non-Performer,2
291,2.8,2.7,2.75,Non-Performer,2
292,1.4,3.6,2.5,Non-Performer,2
293,1.9,1.8,1.85,Non-Performer,2
294,3.6,3.4,3.5,Performer,1
295,4.7,2.8,3.75,Performer,1
296,1.1,4,2.55,Non-Performer,2
297,1.3,4,2.65,Non-Performer,2
298,1.3,4.3,2.8,Non-Performer,2
299,2.6,4.1,3.35,Performer,1
300,3.9,3.3,3.6,Performer,1
301,3.2,3.4,3.3,Performer,1
302,4.7,4.3,4.5,Performer,1
303,1.6,4.7,3.15,Performer,1
304,1.2,3.7,2.45,Non-Performer,2
305,2.5,3.5,3,Performer,1
306,4.3,1.1,2.7,Non-Performer,2
307,4.6,2,3.3,Performer,1
308,2.5,1.5,2,Non-Performer,2
309,4.8,3.8,4.3,Performer,1
310,2,2.8,2.4,Non-Performer,2
311,1.2,4.6,2.9,Non-Performer,2
312,4.8,2.1,3.45,Performer,1
313,2.7,1.4,2.05,Non-Performer,2
314,3.4,4,3.7,Performer,1
315,2.6,2.1,2.35,Non-Performer,2
316,1.7,1.5,1.6,Non-Performer,2
317,1.2,4.6,2.9,Non-Performer,2
318,1.5,1.1,1.3,Non-Performer,2
319,2.6,4.1,3.35,Performer,1
320,3.6,4.2,3.9,Performer,1
321,1.2,2.2,1.7,Non-Performer,2
322,4,1.5,2.75,Non-Performer,2
323,4.1,3.3,3.7,Performer,1
324,1.8,1.5,1.65,Non-Performer,2
325,2.1,4,3.05,Performer,1
326,3,1.7,2.35,Non-Performer,2
327,3.1,4,3.55,Performer,1
328,3.2,4.5,3.85,Performer,1
329,3.5,1.5,2.5,Non-Performer,2
330,4.3,3.8,4.05,Performer,1
331,3.4,4.9,4.15,Performer,1
332,4.8,3.6,4.2,Performer,1
333,4,4.3,4.15,Performer,1
334,3,3.1,3.05,Performer,1
335,4.1,1.9,3,Performer,1
336,4.2,3.4,3.8,Performer,1
337,3.5,4.4,3.95,Performer,1
338,1.6,2.4,2,Non-Performer,2
339,1.5,4.2,2.85,Non-Performer,2
340,4.5,2.1,3.3,Performer,1
341,4.1,3.4,3.75,Performer,1
342,2.4,4.8,3.6,Performer,1
343,4.6,4.8,4.7,Performer,1
344,2.6,3.3,2.95,Non-Performer,2
345,1.7,4.6,3.15,Performer,1
346,2.2,2.2,2.2,Non-Performer,2
347,1.8,2.3,2.05,Non-Performer,2
348,2.8,4.2,3.5,Performer,1
349,3.5,3.8,3.65,Performer,1
350,1.9,1.7,1.8,Non-Performer,2
351,3.6,2.1,2.85,Non-Performer,2
352,3,1.3,2.15,Non-Performer,2
353,2.3,4.5,3.4,Performer,1
354,1.3,4.8,3.05,Performer,1
355,2.2,1.4,1.8,Non-Performer,2
356,1.3,3.1,2.2,Non-Performer,2
357,3.5,3.1,3.3,Performer,1
358,3.9,1.2,2.55,Non-Performer,2
359,4.6,2.4,3.5,Performer,1
360,2.8,2.7,2.75,Non-Performer,2
361,1.3,4.5,2.9,Non-Performer,2
362,1.9,4.3,3.1,Performer,1
363,4.3,3.2,3.75,Performer,1
364,3.7,1.3,2.5,Non-Performer,2
365,3,4.6,3.8,Performer,1
366,4.8,1.6,3.2,Performer,1
367,1.6,1.2,1.4,Non-Performer,2
368,1.9,2.1,2,Non-Performer,2
369,3.1,4.4,3.75,Performer,1
370,3.6,4.3,3.95,Performer,1
371,1.5,1.1,1.3,Non-Performer,2
372,1.6,2.4,2,Non-Performer,2
373,1.9,1.1,1.5,Non-Performer,2
374,1.1,3.2,2.15,Non-Performer,2
375,4.6,1.2,2.9,Non-Performer,2
376,1.2,1.9,1.55,Non-Performer,2
377,2,4.4,3.2,Performer,1
378,4.2,2.2,3.2,Performer,1
379,2.2,4.1,3.15,Performer,1
380,4.8,3.1,3.95,Performer,1
381,2.7,3,2.85,Non-Performer,2
382,2.6,4.4,3.5,Performer,1
383,3,4.2,3.6,Performer,1
384,1.6,1.7,1.65,Non-Performer,2
385,4.8,2.5,3.65,Performer,1
386,4.3,3.3,3.8,Performer,1
387,3.3,2.8,3.05,Performer,1
388,2,1.3,1.65,Non-Performer,2
389,3.6,1.5,2.55,Non-Performer,2
390,1.6,1.5,1.55,Non-Performer,2
391,1.2,3.4,2.3,Non-Performer,2
392,1.8,3.9,2.85,Non-Performer,2
393,1.2,1.7,1.45,Non-Performer,2
394,2.2,2.4,2.3,Non-Performer,2
395,4.1,4.3,4.2,Performer,1
396,2.7,1.9,2.3,Non-Performer,2
397,3.3,1.7,2.5,Non-Performer,2
398,2.2,4.4,3.3,Performer,1
399,2.9,2.8,2.85,Non-Performer,2
400,3,2.6,2.8,Non-Performer,2
401,4.1,4.2,4.15,Performer,1
402,3.8,2.3,3.05,Performer,1
403,2.1,3.7,2.9,Non-Performer,2
404,4.4,2.2,3.3,Performer,1
405,3.9,4.6,4.25,Performer,1
406,1.8,3,2.4,Non-Performer,2
407,2.1,4.4,3.25,Performer,1
408,2.1,4.4,3.25,Performer,1
409,1.8,3.9,2.85,Non-Performer,2
410,3.7,2.3,3,Performer,1
411,4.2,2,3.1,Performer,1
412,2.6,4.8,3.7,Performer,1
413,1.6,3.1,2.35,Non-Performer,2
414,1.5,1.5,1.5,Non-Performer,2
415,3.3,1.3,2.3,Non-Performer,2
416,3.4,3.6,3.5,Performer,1
417,1.8,1.7,1.75,Non-Performer,2
418,4.9,3.8,4.35,Performer,1
419,3.8,2.1,2.95,Non-Performer,2
420,3.2,2.8,3,Performer,1
421,4.4,3.5,3.95,Performer,1
422,4,2.5,3.25,Performer,1
423,3.4,4.6,4,Performer,1
424,4,1.4,2.7,Non-Performer,2
425,1.5,3,2.25,Non-Performer,2
426,3.3,4.5,3.9,Performer,1
427,4.7,1.2,2.95,Non-Performer,2
428,1.1,1.7,1.4,Non-Performer,2
429,3.3,3,3.15,Performer,1
430,1.2,1.6,1.4,Non-Performer,2
431,3.7,4.9,4.3,Performer,1
432,3.3,1.8,2.55,Non-Performer,2
433,1.1,2.4,1.75,Non-Performer,2
434,3.3,4.2,3.75,Performer,1
435,2.2,2.3,2.25,Non-Performer,2
436,2.9,4,3.45,Performer,1
437,1.8,2.5,2.15,Non-Performer,2
438,4.7,1.7,3.2,Performer,1
439,3.8,2.4,3.1,Performer,1
440,1.1,2.9,2,Non-Performer,2
441,4.1,4.9,4.5,Performer,1
442,3.9,1.6,2.75,Non-Performer,2
443,2.4,2.4,2.4,Non-Performer,2
444,3.2,2.9,3.05,Performer,1
445,1.9,1.1,1.5,Non-Performer,2
446,2.9,3.9,3.4,Performer,1
447,4.6,2.6,3.6,Performer,1
448,4.2,1.4,2.8,Non-Performer,2
449,2,4.1,3.05,Performer,1
450,3.1,3.5,3.3,Performer,1
451,2.5,3,2.75,Non-Performer,2
452,1.5,1.4,1.45,Non-Performer,2
453,2.3,1.6,1.95,Non-Performer,2
454,1.8,3.3,2.55,Non-Performer,2
455,3.3,3.5,3.4,Performer,1
456,2.5,4.1,3.3,Performer,1
457,2.9,2.3,2.6,Non-Performer,2
458,4.2,1.4,2.8,Non-Performer,2
459,1.6,2.7,2.15,Non-Performer,2
460,4.5,3,3.75,Performer,1
461,2.4,4.3,3.35,Performer,1
462,4.5,4.8,4.65,Performer,1
463,4.4,4.4,4.4,Performer,1
464,1.9,2.7,2.3,Non-Performer,2
465,1.3,4.5,2.9,Non-Performer,2
466,3.4,1.8,2.6,Non-Performer,2
467,2.9,4.7,3.8,Performer,1
468,4.6,1.9,3.25,Performer,1
469,2.4,3,2.7,Non-Performer,2
470,3.3,3.7,3.5,Performer,1
471,2.5,2.9,2.7,Non-Performer,2
472,4,3.9,3.95,Performer,1
473,3.5,3.2,3.35,Performer,1
474,3.5,2,2.75,Non-Performer,2
475,1.7,3.6,2.65,Non-Performer,2
476,1.2,1.9,1.55,Non-Performer,2
477,3.9,3.3,3.6,Performer,1
478,4.6,4.6,4.6,Performer,1
479,2.7,2.6,2.65,Non-Performer,2
480,2.9,1.8,2.35,Non-Performer,2
481,2.2,1.7,1.95,Non-Performer,2
482,4.9,3.6,4.25,Performer,1
483,1.4,1.8,1.6,Non-Performer,2
484,3.5,1.8,2.65,Non-Performer,2
485,3.8,4.4,4.1,Performer,1
486,2.7,1.4,2.05,Non-Performer,2
487,4.1,3.3,3.7,Performer,1
488,4,1.2,2.6,Non-Performer,2
489,4.1,2.1,3.1,Performer,1
490,1.7,2.4,2.05,Non-Performer,2
491,4.2,3.6,3.9,Performer,1
492,1.8,1.3,1.55,Non-Performer,2
493,3.3,1.6,2.45,Non-Performer,2
494,1.4,3.1,2.25,Non-Performer,2
495,3.5,3.8,3.65,Performer,1
496,2.1,2.7,2.4,Non-Performer,2
497,1.9,1.8,1.85,Non-Performer,2
498,2.2,4.1,3.15,Performer,1
499,3.8,1.7,2.75,Non-Performer,2
500,3.1,4.2,3.65,Performer,1
501,2.7,4.7,3.7,Performer,1
502,1.7,4.8,3.25,Performer,1
503,2,3.2,2.6,Non-Performer,2
504,2.6,1.6,2.1,Non-Performer,2
505,4.8,3.9,4.35,Performer,1
506,2.2,2.4,2.3,Non-Performer,2
507,2.4,2.7,2.55,Non-Performer,2
508,3.1,3.6,3.35,Performer,1
509,2.4,2.6,2.5,Non-Performer,2
510,4.4,2.2,3.3,Performer,1
511,4,1.4,2.7,Non-Performer,2
512,1.3,1.9,1.6,Non-Performer,2
513,4.4,4,4.2,Performer,1
514,4.2,3.9,4.05,Performer,1
515,3.4,2,2.7,Non-Performer,2
516,2.4,4,3.2,Performer,1
517,2.1,4.6,3.35,Performer,1
518,4.6,3.6,4.1,Performer,1
519,3.4,4.8,4.1,Performer,1
520,3.2,2.7,2.95,Non-Performer,2
521,1.6,1.2,1.4,Non-Performer,2
522,3.4,1.8,2.6,Non-Performer,2
523,3.9,3.1,3.5,Performer,1
524,4.5,3.6,4.05,Performer,1
525,4.1,3.8,3.95,Performer,1
526,2.4,2.7,2.55,Non-Performer,2
527,3,2.9,2.95,Non-Performer,2
528,4.6,2.3,3.45,Performer,1
529,2.7,1.8,2.25,Non-Performer,2
530,4.7,3.4,4.05,Performer,1
531,4.6,3.2,3.9,Performer,1
532,3.8,3.5,3.65,Performer,1
533,4.8,3.3,4.05,Performer,1
534,4.2,3.3,3.75,Performer,1
535,4.3,4.1,4.2,Performer,1
536,3.7,4.5,4.1,Performer,1
537,4,2.7,3.35,Performer,1
538,2.5,1.2,1.85,Non-Performer,2
539,2.6,1.7,2.15,Non-Performer,2
540,4.6,2.3,3.45,Performer,1
541,1.8,1.6,1.7,Non-Performer,2
542,4.2,4,4.1,Performer,1
543,2.2,4.2,3.2,Performer,1
544,4.2,4.1,4.15,Performer,1
545,4.5,2.9,3.7,Performer,1
546,4.3,4.1,4.2,Performer,1
547,3.7,4.3,4,Performer,1
548,4.1,1.7,2.9,Non-Performer,2
549,2.3,4.5,3.4,Performer,1
550,2.5,4.8,3.65,Performer,1
551,1.1,1.5,1.3,Non-Performer,2
552,4.8,2.6,3.7,Performer,1
553,3.2,4.1,3.65,Performer,1
554,2.6,2.4,2.5,Non-Performer,2
555,1.2,1.1,1.15,Non-Performer,2
556,2,3.5,2.75,Non-Performer,2
557,1.5,2.7,2.1,Non-Performer,2
558,2.2,1.1,1.65,Non-Performer,2
559,4.5,2.6,3.55,Performer,1
560,2.6,4.8,3.7,Performer,1
561,1.2,2.7,1.95,Non-Performer,2
562,4,4.8,4.4,Performer,1
563,1.7,4,2.85,Non-Performer,2
564,1.9,1.6,1.75,Non-Performer,2
565,2.2,4.8,3.5,Performer,1
566,4.1,2.7,3.4,Performer,1
567,2.7,2.8,2.75,Non-Performer,2
568,3.9,2.9,3.4,Performer,1
569,2.4,1.6,2,Non-Performer,2
570,2.4,3,2.7,Non-Performer,2
571,3.1,3.4,3.25,Performer,1
572,2.9,3.1,3,Performer,1
573,2.9,3.7,3.3,Performer,1
574,3.2,3.1,3.15,Performer,1
575,4.3,3.7,4,Performer,1
576,3.3,1.3,2.3,Non-Performer,2
577,3.5,2.3,2.9,Non-Performer,2
578,2.6,4,3.3,Performer,1
579,4.1,4.3,4.2,Performer,1
580,2.7,4.5,3.6,Performer,1
581,4,3,3.5,Performer,1
582,3.4,3.5,3.45,Performer,1
583,3.9,3.8,3.85,Performer,1
584,4,1.7,2.85,Non-Performer,2
585,2.7,4.5,3.6,Performer,1
586,2.3,3.8,3.05,Performer,1
587,3.8,3.2,3.5,Performer,1
588,1.4,2,1.7,Non-Performer,2
589,1.7,3.8,2.75,Non-Performer,2
590,4.1,1.4,2.75,Non-Performer,2
591,4.5,4,4.25,Performer,1
592,3.8,1.4,2.6,Non-Performer,2
593,4.7,2.1,3.4,Performer,1
594,3.4,1.2,2.3,Non-Performer,2
595,4.7,1.9,3.3,Performer,1
596,4.4,2.5,3.45,Performer,1
597,1.5,3.7,2.6,Non-Performer,2
598,3.3,1.8,2.55,Non-Performer,2
599,1.9,1.5,1.7,Non-Performer,2
600,1.5,3.1,2.3,Non-Performer,2
601,3.6,1.1,2.35,Non-Performer,2
602,4.4,2.3,3.35,Performer,1
603,3.7,3.1,3.4,Performer,1
604,2,4.2,3.1,Performer,1
605,1.5,1.7,1.6,Non-Performer,2
606,1.2,4.2,2.7,Non-Performer,2
607,1.5,3.2,2.35,Non-Performer,2
608,4.3,1.2,2.75,Non-Performer,2
609,2.6,3.8,3.2,Performer,1
610,4.4,4.8,4.6,Performer,1
611,4.9,3,3.95,Performer,1
612,2.9,2.9,2.9,Non-Performer,2
613,3.6,2.8,3.2,Performer,1
614,4,2.7,3.35,Performer,1
615,3,1.4,2.2,Non-Performer,2
616,4.9,2.2,3.55,Performer,1
617,4.2,1.2,2.7,Non-Performer,2
618,3.4,2.4,2.9,Non-Performer,2
619,3.7,4.9,4.3,Performer,1
620,2,1.2,1.6,Non-Performer,2
621,3.8,2.8,3.3,Performer,1
622,1.6,1.9,1.75,Non-Performer,2
623,3.7,2.7,3.2,Performer,1
624,3.9,1.6,2.75,Non-Performer,2
625,3.1,3.1,3.1,Performer,1
626,2.8,1.4,2.1,Non-Performer,2
627,2.1,3.2,2.65,Non-Performer,2
628,3.2,1.5,2.35,Non-Performer,2
629,2,1.5,1.75,Non-Performer,2
630,3.3,1.1,2.2,Non-Performer,2
631,3.6,3.5,3.55,Performer,1
632,4.6,4.6,4.6,Performer,1
633,4.2,2.8,3.5,Performer,1
634,1.5,3,2.25,Non-Performer,2
635,2.8,2.3,2.55,Non-Performer,2
636,1.6,2,1.8,Non-Performer,2
637,2.9,4.1,3.5,Performer,1
638,3.3,1.6,2.45,Non-Performer,2
639,3,2.9,2.95,Non-Performer,2
640,4.4,4.8,4.6,Performer,1
641,1.5,2.7,2.1,Non-Performer,2
642,1.6,4.4,3,Performer,1
643,3.1,2.3,2.7,Non-Performer,2
644,4.7,4.7,4.7,Performer,1
645,3.2,2.6,2.9,Non-Performer,2
646,3.1,2.6,2.85,Non-Performer,2
647,2.1,2.9,2.5,Non-Performer,2
648,3.6,2.7,3.15,Performer,1
649,1.5,3.2,2.35,Non-Performer,2
650,2.5,2.1,2.3,Non-Performer,2
651,2.9,2.8,2.85,Non-Performer,2
652,3.8,2.5,3.15,Performer,1
653,4.5,4.7,4.6,Performer,1
654,1.9,2.7,2.3,Non-Performer,2
655,4.3,1.9,3.1,Performer,1
656,2.2,4.2,3.2,Performer,1
657,1.7,3.4,2.55,Non-Performer,2
658,2.6,3.9,3.25,Performer,1
659,3.6,4.8,4.2,Performer,1
660,3,3.6,3.3,Performer,1
